dateday,season,year,month,holiday,weekday,workingday,weather,windspeed,casual,registered,count
2011-01-01,Spring,0,Januari,0,Sabtu,0,LIght Mist,0.160446,331,654,985
2011-01-02,Spring,0,Januari,0,Minggu,0,LIght Mist,0.248539,131,670,801
2011-01-03,Spring,0,Januari,0,Senin,1,"Clear, Cloudy",0.248309,120,1229,1349
2011-01-04,Spring,0,Januari,0,Selasa,1,"Clear, Cloudy",0.160296,108,1454,1562
2011-01-05,Spring,0,Januari,0,Rabu,1,"Clear, Cloudy",0.1869,82,1518,1600
2011-01-06,Spring,0,Januari,0,Kamis,1,"Clear, Cloudy",0.0895652,88,1518,1606
2011-01-07,Spring,0,Januari,0,Jumat,1,LIght Mist,0.168726,148,1362,1510
2011-01-08,Spring,0,Januari,0,Sabtu,0,LIght Mist,0.266804,68,891,959
2011-01-09,Spring,0,Januari,0,Minggu,0,"Clear, Cloudy",0.36195,54,768,822
2011-01-10,Spring,0,Januari,0,Senin,1,"Clear, Cloudy",0.223267,41,1280,1321
2011-01-11,Spring,0,Januari,0,Selasa,1,LIght Mist,0.122132,43,1220,1263
2011-01-12,Spring,0,Januari,0,Rabu,1,"Clear, Cloudy",0.304627,25,1137,1162
2011-01-13,Spring,0,Januari,0,Kamis,1,"Clear, Cloudy",0.301,38,1368,1406
2011-01-14,Spring,0,Januari,0,Jumat,1,"Clear, Cloudy",0.126548,54,1367,1421
2011-01-15,Spring,0,Januari,0,Sabtu,0,LIght Mist,0.157963,222,1026,1248
2011-01-16,Spring,0,Januari,0,Minggu,0,"Clear, Cloudy",0.188433,251,953,1204
2011-01-17,Spring,0,Januari,1,Senin,0,LIght Mist,0.194017,117,883,1000
2011-01-18,Spring,0,Januari,0,Selasa,1,LIght Mist,0.146775,9,674,683
2011-01-19,Spring,0,Januari,0,Rabu,1,LIght Mist,0.208317,78,1572,1650
2011-01-20,Spring,0,Januari,0,Kamis,1,LIght Mist,0.195904,83,1844,1927
2011-01-21,Spring,0,Januari,0,Jumat,1,"Clear, Cloudy",0.353242,75,1468,1543
2011-01-22,Spring,0,Januari,0,Sabtu,0,"Clear, Cloudy",0.17197,93,888,981
2011-01-23,Spring,0,Januari,0,Minggu,0,"Clear, Cloudy",0.2466,150,836,986
2011-01-24,Spring,0,Januari,0,Senin,1,"Clear, Cloudy",0.15833,86,1330,1416
2011-01-25,Spring,0,Januari,0,Selasa,1,LIght Mist,0.129796,186,1799,1985
2011-01-26,Spring,0,Januari,0,Rabu,1,"Light Snow, Thunderstorm",0.29385,34,472,506
2011-01-27,Spring,0,Januari,0,Kamis,1,"Clear, Cloudy",0.113837,15,416,431
2011-01-28,Spring,0,Januari,0,Jumat,1,LIght Mist,0.1233,38,1129,1167
2011-01-29,Spring,0,Januari,0,Sabtu,0,"Clear, Cloudy",0.145365,123,975,1098
2011-01-30,Spring,0,Januari,0,Minggu,0,"Clear, Cloudy",0.0739826,140,956,1096
2011-01-31,Spring,0,Januari,0,Senin,1,LIght Mist,0.187192,42,1459,1501
2011-02-01,Spring,0,Februari,0,Selasa,1,LIght Mist,0.053213,47,1313,1360
2011-02-02,Spring,0,Februari,0,Rabu,1,LIght Mist,0.264308,72,1454,1526
2011-02-03,Spring,0,Februari,0,Kamis,1,"Clear, Cloudy",0.277752,61,1489,1550
2011-02-04,Spring,0,Februari,0,Jumat,1,LIght Mist,0.127839,88,1620,1708
2011-02-05,Spring,0,Februari,0,Sabtu,0,LIght Mist,0.161079,100,905,1005
2011-02-06,Spring,0,Februari,0,Minggu,0,"Clear, Cloudy",0.1418,354,1269,1623
2011-02-07,Spring,0,Februari,0,Senin,1,"Clear, Cloudy",0.0454083,120,1592,1712
2011-02-08,Spring,0,Februari,0,Selasa,1,"Clear, Cloudy",0.36195,64,1466,1530
2011-02-09,Spring,0,Februari,0,Rabu,1,LIght Mist,0.188839,53,1552,1605
2011-02-10,Spring,0,Februari,0,Kamis,1,"Clear, Cloudy",0.221935,47,1491,1538
2011-02-11,Spring,0,Februari,0,Jumat,1,"Clear, Cloudy",0.10855,149,1597,1746
2011-02-12,Spring,0,Februari,0,Sabtu,0,"Clear, Cloudy",0.203367,288,1184,1472
2011-02-13,Spring,0,Februari,0,Minggu,0,"Clear, Cloudy",0.260883,397,1192,1589
2011-02-14,Spring,0,Februari,0,Senin,1,"Clear, Cloudy",0.417908,208,1705,1913
2011-02-15,Spring,0,Februari,0,Selasa,1,"Clear, Cloudy",0.291374,140,1675,1815
2011-02-16,Spring,0,Februari,0,Rabu,1,"Clear, Cloudy",0.251791,218,1897,2115
2011-02-17,Spring,0,Februari,0,Kamis,1,"Clear, Cloudy",0.230104,259,2216,2475
2011-02-18,Spring,0,Februari,0,Jumat,1,"Clear, Cloudy",0.264925,579,2348,2927
2011-02-19,Spring,0,Februari,0,Sabtu,0,"Clear, Cloudy",0.507463,532,1103,1635
2011-02-20,Spring,0,Februari,0,Minggu,0,"Clear, Cloudy",0.223235,639,1173,1812
2011-02-21,Spring,0,Februari,1,Senin,0,LIght Mist,0.307846,195,912,1107
2011-02-22,Spring,0,Februari,0,Selasa,1,"Clear, Cloudy",0.195683,74,1376,1450
2011-02-23,Spring,0,Februari,0,Rabu,1,"Clear, Cloudy",0.094113,139,1778,1917
2011-02-24,Spring,0,Februari,0,Kamis,1,LIght Mist,0.250496,100,1707,1807
2011-02-25,Spring,0,Februari,0,Jumat,1,LIght Mist,0.346539,120,1341,1461
2011-02-26,Spring,0,Februari,0,Sabtu,0,"Clear, Cloudy",0.186571,424,1545,1969
2011-02-27,Spring,0,Februari,0,Minggu,0,"Clear, Cloudy",0.125248,694,1708,2402
2011-02-28,Spring,0,Februari,0,Senin,1,LIght Mist,0.289686,81,1365,1446
2011-03-01,Spring,0,Maret,0,Selasa,1,"Clear, Cloudy",0.216425,137,1714,1851
2011-03-02,Spring,0,Maret,0,Rabu,1,"Clear, Cloudy",0.307833,231,1903,2134
2011-03-03,Spring,0,Maret,0,Kamis,1,"Clear, Cloudy",0.225754,123,1562,1685
2011-03-04,Spring,0,Maret,0,Jumat,1,LIght Mist,0.203346,214,1730,1944
2011-03-05,Spring,0,Maret,0,Sabtu,0,LIght Mist,0.251871,640,1437,2077
2011-03-06,Spring,0,Maret,0,Minggu,0,LIght Mist,0.343287,114,491,605
2011-03-07,Spring,0,Maret,0,Senin,1,"Clear, Cloudy",0.341352,244,1628,1872
2011-03-08,Spring,0,Maret,0,Selasa,1,"Clear, Cloudy",0.12065,316,1817,2133
2011-03-09,Spring,0,Maret,0,Rabu,1,LIght Mist,0.22015,191,1700,1891
2011-03-10,Spring,0,Maret,0,Kamis,1,"Light Snow, Thunderstorm",0.261877,46,577,623
2011-03-11,Spring,0,Maret,0,Jumat,1,LIght Mist,0.23297,247,1730,1977
